,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
190,29719,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
191,29720,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
192,29724,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
193,29729,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
194,29730,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
195,29733,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
196,29734,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
197,29735,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
198,29736,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
199,29739,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
200,29740,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
201,29741,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
202,29742,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
203,29744,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
204,29745,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
205,29837,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
206,29747,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
207,29748,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
208,29749,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
209,29750,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
210,29752,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
211,29754,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
212,29755,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
213,29756,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
214,29759,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
215,29760,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
216,29763,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
217,29765,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
218,29769,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
219,29772,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
220,29774,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
221,29776,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
222,29780,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
223,29783,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
224,29785,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
225,29790,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
226,29793,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
227,29803,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
228,29805,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
229,29807,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
230,29811,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
231,29814,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
232,29818,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
233,29821,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
234,29826,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
235,29835,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
236,29836,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
237,29839,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
238,29840,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
239,29843,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
240,29846,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
241,29849,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
242,29851,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
243,29855,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
244,29860,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
245,29871,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
246,29876,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
247,29879,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
248,29882,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
249,29884,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
250,29886,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
251,29892,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
252,29896,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
253,29899,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
254,29904,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
255,29906,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
256,29908,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
257,29913,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
258,29914,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
259,29918,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
260,29920,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
261,29925,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
262,29933,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
263,29946,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
264,29950,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
265,29952,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
266,29965,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
267,29970,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
268,29973,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
269,29975,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
270,29976,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
271,29982,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
272,29989,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
273,29994,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
274,29995,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
275,30000,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
276,30005,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
277,30012,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
278,30021,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
279,30026,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
280,30027,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
281,30030,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
282,30032,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
283,30034,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
284,30036,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
285,30038,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
286,30040,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
287,30046,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
288,30052,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
289,30054,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
290,30057,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
291,30061,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
292,30062,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
293,30064,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
294,30073,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
295,30075,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
